Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8071513900KS,Intel,Core i9-13900KS,1,131,2586,https://cpu.userbenchmark.com/SpeedTest/2000819/13th-Gen-IntelR-CoreTM-i9-13900KS
CPU,BX8071513900KF,Intel,Core i9-13900KF,2,129,10475,https://cpu.userbenchmark.com/SpeedTest/1946957/13th-Gen-IntelR-CoreTM-i9-13900KF
CPU,BX8071513900K,Intel,Core i9-13900K,3,129,39499,https://cpu.userbenchmark.com/Intel-Core-i9-13900K/Rating/4129
CPU,BX8071513700KF,Intel,Core i7-13700KF,4,126,14800,https://cpu.userbenchmark.com/SpeedTest/1925886/13th-Gen-IntelR-CoreTM-i7-13700KF
CPU,BX8071513700K,Intel,Core i7-13700K,5,126,36030,https://cpu.userbenchmark.com/Intel-Core-i7-13700K/Rating/4137
CPU,BX8071513900F,Intel,Core i9-13900F,6,124,457,https://cpu.userbenchmark.com/SpeedTest/1994287/13th-Gen-IntelR-CoreTM-i9-13900F
CPU,BX8071513900,Intel,Core i9-13900,7,124,571,https://cpu.userbenchmark.com/SpeedTest/1977296/13th-Gen-IntelR-CoreTM-i9-13900
CPU,100-100000908WOF,AMD,Ryzen 9 7950X3D,8,122,525,https://cpu.userbenchmark.com/SpeedTest/2052977/AMD-Ryzen-9-7950X3D-16-Core-Processor
CPU,BX8071513600K,Intel,Core i5-13600K,9,122,23618,https://cpu.userbenchmark.com/Intel-Core-i5-13600K/Rating/4134
CPU,BX8071513600KF,Intel,Core i5-13600KF,10,122,24875,https://cpu.userbenchmark.com/SpeedTest/1950757/13th-Gen-IntelR-CoreTM-i5-13600KF
CPU,BX8071513700,Intel,Core i7-13700,11,121,1393,https://cpu.userbenchmark.com/SpeedTest/1963418/13th-Gen-IntelR-CoreTM-i7-13700
CPU,BX8071513700F,Intel,Core i7-13700F,12,121,2572,https://cpu.userbenchmark.com/SpeedTest/1997481/13th-Gen-IntelR-CoreTM-i7-13700F
CPU,BX8071512900KS,Intel,Core i9-12900KS,13,119,4646,https://cpu.userbenchmark.com/SpeedTest/1821519/12th-Gen-IntelR-CoreTM-i9-12900KS
CPU,100-100000909WOF,AMD,Ryzen 9 7900X3D,14,117,194,https://cpu.userbenchmark.com/SpeedTest/2053257/AMD-Ryzen-9-7900X3D-12-Core-Processor
CPU,100-100000910WOF,AMD,Ryzen 7 7800X3D,15,117,1012,https://cpu.userbenchmark.com/SpeedTest/2081998/AMD-Ryzen-7-7800X3D-8-Core-Processor
CPU,BX8071512900KF,Intel,Core i9-12900KF,16,117,15291,https://cpu.userbenchmark.com/SpeedTest/1685583/12th-Gen-IntelR-CoreTM-i9-12900KF
CPU,,Intel,Core i9-13980HX,17,117,2975,https://cpu.userbenchmark.com/SpeedTest/2030055/13th-Gen-IntelR-CoreTM-i9-13980HX
CPU,BX8071512900K,Intel,Core i9-12900K,18,117,66991,https://cpu.userbenchmark.com/Intel-Core-i9-12900K/Rating/4118
CPU,,Intel,Core i9-13950HX,19,116,398,https://cpu.userbenchmark.com/SpeedTest/2033250/13th-Gen-IntelR-CoreTM-i9-13950HX
CPU,BX8071513600,Intel,Core i5-13600,20,116,99,https://cpu.userbenchmark.com/SpeedTest/2013466/13th-Gen-IntelR-CoreTM-i5-13600
CPU,,Intel,Core i9-13900HX,21,115,3316,https://cpu.userbenchmark.com/SpeedTest/2023039/13th-Gen-IntelR-CoreTM-i9-13900HX
CPU,100-100000514WOF,AMD,Ryzen 9 7950X,22,114,987,https://cpu.userbenchmark.com/AMD-Ryzen-9-7950X/Rating/4133
CPU,BX8071512700K,Intel,Core i7-12700K,23,114,78749,https://cpu.userbenchmark.com/Intel-Core-i7-12700K/Rating/4119
CPU,BX8071512700KF,Intel,Core i7-12700KF,24,114,35715,https://cpu.userbenchmark.com/SpeedTest/1699429/12th-Gen-IntelR-CoreTM-i7-12700KF
CPU,BX8071512900F,Intel,Core i9-12900F,25,113,1540,https://cpu.userbenchmark.com/SpeedTest/1757838/12th-Gen-IntelR-CoreTM-i9-12900F
CPU,100-100000589WOF,AMD,Ryzen 9 7900X,26,113,995,https://cpu.userbenchmark.com/AMD-Ryzen-9-7900X/Rating/4132
CPU,BX8071513500,Intel,Core i5-13500,27,113,2101,https://cpu.userbenchmark.com/Intel-Core-i5-13500/Rating/4147
CPU,100-100000591WOF,AMD,Ryzen 7 7700X,28,112,1382,https://cpu.userbenchmark.com/AMD-Ryzen-7-7700X/Rating/4131
CPU,BX8071512900,Intel,Core i9-12900,29,111,2410,https://cpu.userbenchmark.com/SpeedTest/1668917/12th-Gen-IntelR-CoreTM-i9-12900
CPU,100-100000593WOF,AMD,Ryzen 5 7600X,30,110,1165,https://cpu.userbenchmark.com/AMD-Ryzen-5-7600X/Rating/4130
CPU,BX8071512600K,Intel,Core i5-12600K,31,109,57538,https://cpu.userbenchmark.com/Intel-Core-i5-12600K/Rating/4120
CPU,100-100000590BOX,AMD,Ryzen 9 7900,32,109,159,https://cpu.userbenchmark.com/SpeedTest/2015863/AMD-Ryzen-9-7900-12-Core-Processor
CPU,BX8071512600KF,Intel,Core i5-12600KF,33,109,20380,https://cpu.userbenchmark.com/SpeedTest/1700734/12th-Gen-IntelR-CoreTM-i5-12600KF
CPU,100-100000592BOX,AMD,Ryzen 7 7700,34,109,217,https://cpu.userbenchmark.com/SpeedTest/2016389/AMD-Ryzen-7-7700-8-Core-Processor
CPU,BX8071512700F,Intel,Core i7-12700F,35,109,19845,https://cpu.userbenchmark.com/Intel-Core-i7-12700F/Rating/4124
CPU,BX8071512700,Intel,Core i7-12700,36,108,15021,https://cpu.userbenchmark.com/SpeedTest/1750830/12th-Gen-IntelR-CoreTM-i7-12700
